datetime,temperature
2025-06-09 13:13:16.068572,15.4899546015619
2025-06-09 16:13:16.068572,16.495221323360504
2025-06-09 19:13:16.068572,24.309983052109967
2025-06-09 22:13:16.068572,17.908870592676433
2025-06-10 01:13:16.068572,18.403890133638665
2025-06-10 04:13:16.068572,19.941312939829867
2025-06-10 07:13:16.068572,22.05421136584592
2025-06-10 10:13:16.068572,23.87956552082904
2025-06-10 13:13:16.068572,14.024954859791867
2025-06-10 16:13:16.068572,18.26666394631959
2025-06-10 19:13:16.068572,18.92581199657681
2025-06-10 22:13:16.068572,16.091005776844618
2025-06-11 01:13:16.068572,22.858450879828524
2025-06-11 04:13:16.068572,19.944619958451288
2025-06-11 07:13:16.068572,22.632425184949273
2025-06-11 10:13:16.068572,24.430652896166396
2025-06-11 13:13:16.068572,15.714797600148811
2025-06-11 16:13:16.068572,20.731616882475084
2025-06-11 19:13:16.068572,16.907074129922872
2025-06-11 22:13:16.068572,19.686905130957044
2025-06-12 01:13:16.068572,25.712077638779522
2025-06-12 04:13:16.068572,19.28862710926687
2025-06-12 07:13:16.068572,21.17657849330699
2025-06-12 10:13:16.068572,21.171899162125417
2025-06-12 13:13:16.068572,20.3095136614865
2025-06-12 16:13:16.068572,23.256200306636977
2025-06-12 19:13:16.068572,17.190745918823914
2025-06-12 22:13:16.068572,21.76096030898214
2025-06-13 01:13:16.068572,20.175747558468295
2025-06-13 04:13:16.068572,22.558029277457912
2025-06-13 07:13:16.068572,25.94142846955329
2025-06-13 10:13:16.068572,19.387672524535844
2025-06-13 13:13:16.068572,18.772874290005
2025-06-13 16:13:16.068572,20.269732346314466
2025-06-13 19:13:16.068572,23.171072826271086
2025-06-13 22:13:16.068572,19.942611296028623
2025-06-14 01:13:16.068572,22.06580790160607
2025-06-14 04:13:16.068572,25.68766647132148
2025-06-14 07:13:16.068572,19.098574169618356
2025-06-14 10:13:16.068572,21.08769841860049
